cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
3.04,199.0,0.0,0.0,5.68,0.0,2376.4,436.0,12.0,2.15,0,0
2.99,199.0,0.0,0.0,5.68,0.2,1158.88,439.93,6.01,2.25,0,0,0
4.3,202.5,0.0,0.0,0.0,0.2,20162.47,154146.36,219.26,198.95,0,0
16.18,206.0,0.0,0.0,0.0,0.2,79087.67,585592.56,855.75,834.23,0,0
27.29,200.0,0.0,0.0,0.0,0.41,102508.78,908710.41,1055.57,1105.08,0,0
25.91,200.0,0.0,0.0,0.0,0.63,148616.13,1043999.91,1555.33,1260.91,0,0
26.61,217.0,0.0,0.0,0.0,0.78,127757.96,989904.83,1332.86,1262.94,0,0
26.24,209.5,0.0,0.0,0.0,2.66,133816.8,1030921.02,1405.5,1257.14,0,0
27.42,202.0,0.0,0.0,0.2,9.59,125134.81,987921.29,1240.81,1213.51,0,0
27.67,202.0,0.0,0.0,0.2,7.49,123741.99,970717.68,1279.97,1236.53,0,0
29.66,202.0,0.0,0.0,0.0,0.42,129597.4,966799.99,1321.67,1258.97,0,0
24.07,220.0,0.0,0.0,0.0,0.39,127187.68,946480.9,1227.89,1225.82,0,0
25.13,220.0,0.0,0.0,0.0,0.42,111183.66,896263.06,1233.81,1221.44,0,0
28.09,220.0,0.0,0.0,0.0,5.4,118050.81,955106.78,1209.34,1167.21,0,0
26.87,219.5,0.0,0.0,0.0,8.2,134936.22,1003879.99,1279.99,1275.02,0,0
25.76,219.0,0.0,0.0,0.0,3.17,132199.72,963843.72,1347.21,1326.47,0,0
25.45,210.5,0.0,0.0,0.0,0.38,127160.88,970920.21,1322.19,1273.43,0,0
25.01,202.0,0.0,0.0,0.0,0.4,118274.26,960002.64,1296.25,1246.76,0,0
24.55,203.0,0.0,0.0,0.0,0.42,118882.78,939387.93,1270.74,1235.77,0,0
30.75,203.0,0.0,0.0,0.0,0.95,123936.12,967374.14,1326.52,1235.22,0,0
26.96,202.0,0.0,0.0,0.1,8.55,123404.97,982221.34,1244.36,1223.89,0,0
28.53,202.5,0.0,0.0,0.1,8.14,123796.03,980786.72,1271.24,1234.61,0,0
27.66,203.0,0.0,0.0,0.0,0.39,125336.59,966440.92,1260.64,1223.78,0,0
27.88,203.0,0.0,0.0,0.0,0.41,115265.76,927905.08,1250.16,1203.15,0,0
25.54,203.0,0.0,0.0,0.0,1.04,125746.41,926686.12,1307.32,1281.67,0,0
27.55,222.0,0.0,0.0,0.0,0.39,129390.51,1023209.28,1329.37,1270.6,0,0
26.23,222.0,0.0,0.0,0.0,13.08,121766.84,922438.71,1346.74,1369.55,0,0
26.12,203.0,0.0,0.0,0.0,0.8,120387.97,921736.89,1288.87,1189.55,0,0
25.19,203.0,0.0,0.0,0.0,0.4,131267.89,986188.32,1274.58,1263.58,0,0
25.9,203.0,0.0,0.0,0.0,0.8,123131.31,995367.65,1296.12,1227.49,0,0
25.23,203.0,0.0,0.0,0.0,0.4,124635.77,864071.42,1134.42,1233.88,0,0
31.11,203.0,0.0,0.0,0.19,29.68,122964.13,974131.25,1308.82,1393.58,0,0
26.32,203.0,0.0,0.0,0.0,0.37,128242.88,954448.27,1356.68,1116.65,0,0
27.35,203.5,0.0,0.0,0.0,0.43,124284.95,954542.0,1219.32,1287.18,0,0
25.65,204.0,0.0,0.0,0.0,0.6,121992.08,962415.0,1273.04,1274.52,0,0
27.34,204.0,0.0,0.0,0.0,0.75,124156.6,951802.18,1282.89,1212.87,0,0
27.68,204.0,0.0,0.0,0.18,14.65,122906.65,1007619.23,1274.22,1137.5,0,0
27.2,204.0,0.0,0.0,0.0,0.43,134197.21,969117.75,1287.91,1234.86,0,0
26.13,204.0,0.0,0.0,0.0,0.38,116152.4,973487.22,1418.93,1257.65,0,0
24.94,204.0,0.0,0.0,0.0,0.4,121480.09,933406.15,1143.31,1269.74,0,0
27.56,204.0,0.0,0.0,0.0,0.83,123042.44,928290.95,1229.68,1314.96,0,0
26.64,223.0,0.0,0.0,0.0,7.58,125294.98,979879.74,1289.16,1228.16,0,0
25.92,223.0,0.0,0.0,0.0,7.5,127841.99,984937.07,1366.23,1296.94,0,0
27.63,223.0,0.0,0.0,0.0,0.39,116948.2,916213.56,1206.96,1253.67,0,0
23.92,223.0,0.0,0.0,0.0,0.39,123473.82,924394.67,1250.33,1222.73,0,0
26.25,223.0,0.0,0.0,0.0,0.44,121670.02,1044142.42,1294.29,1250.29,0,0
25.32,223.0,0.0,0.0,0.0,0.78,120677.51,908608.96,1238.44,1232.0,0,0
24.78,214.0,0.0,0.0,0.0,8.1,127349.27,954483.06,1268.24,1232.14,0,0
27.51,205.0,0.0,0.0,0.0,7.99,118715.08,868294.07,1184.9,1180.63,0,0
21.61,205.0,0.0,0.0,0.0,0.37,114481.56,1084288.62,1244.64,1091.76,0,0
27.68,205.0,0.0,0.0,0.0,0.39,134967.03,864855.11,1424.63,1290.47,0,0
30.05,206.0,0.0,0.0,0.0,0.73,120617.15,994875.8,1239.66,1263.63,0,0
26.44,205.5,0.0,0.0,0.0,0.52,126974.82,981770.59,1293.49,1207.83,0,0
26.78,205.0,0.0,0.0,0.09,11.45,121957.77,917383.1,1308.96,1268.86,0,0
26.74,205.0,0.0,0.0,0.09,11.47,125995.37,915747.04,1229.86,1309.2,0,0
27.59,205.0,0.0,0.0,0.0,0.39,115854.22,998331.93,1312.2,1127.16,0,0
29.84,206.0,0.0,0.0,0.0,0.8,128993.72,1035701.41,1262.02,1249.49,0,0
24.94,206.0,0.0,0.0,0.0,0.6,124709.97,872955.77,1292.85,1225.93,0,0
26.87,206.0,0.0,0.0,0.0,6.79,117434.82,952623.16,1286.47,1242.32,0,0
28.65,206.0,0.0,0.0,0.0,7.28,123989.59,966153.28,1266.02,1294.66,0,0
28.62,206.0,0.0,0.0,0.0,0.89,124084.46,961466.24,1278.98,1242.16,0,0
26.83,206.0,0.0,0.0,0.0,0.65,121771.89,944197.95,1322.29,1174.26,0,0
32.46,206.0,0.0,0.0,0.0,0.54,125386.88,1027857.55,1215.42,1232.01,0,0
27.29,206.0,0.0,0.0,0.0,0.42,126777.32,878887.91,1256.16,1230.57,0,0
