cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
0.94,198.0,-1,0.0,0.0,0.41,26.57,45.92,0.79,0.3,0,0
0.71,197.5,-1,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0
0.6,197.0,-1,0.0,0.21,0.0,3811.09,19869.65,0.0,0.0,0,0
12.55,-1,-1,0.0,-1,0.19,-1,316273.65,447.81,408.35,0,0
10.86,196.0,-1,0.0,0.0,3.07,36164.63,265166.49,341.63,302.58,0,0
12.97,202.0,-1,0.0,0.0,0.4,43146.59,316227.34,487.12,436.09,0,0
16.39,202.0,-1,0.0,0.0,1.02,59110.83,418216.38,524.16,507.24,0,0
-1,211.0,-1,-1,-1,0.4,56881.95,470098.93,659.01,498.42,0,0
12.27,207.0,-1,0.0,0.0,0.39,55469.56,319859.39,494.99,555.05,0,0
26.45,207.0,-1,0.0,0.0,1.02,70303.67,570009.16,668.67,581.31,0,0
17.8,207.0,-1,0.0,0.0,0.9,61339.93,436075.79,626.4,528.91,0,0
18.57,197.0,-1,0.0,0.0,0.4,60537.03,435475.81,639.57,-1,0,0
-1,197.0,-1,0.0,-1,0.0,54314.04,-1,497.44,494.9,0,0
14.41,197.0,-1,0.0,0.0,0.35,62704.98,376017.52,571.05,530.03,0,0
16.52,197.0,-1,0.0,0.0,0.41,59752.4,437627.03,596.68,598.18,0,0
15.52,197.0,-1,0.0,0.0,0.53,58880.63,443653.67,597.99,492.5,0,0
19.01,197.0,-1,0.0,0.0,1.25,66513.5,467386.36,634.29,-1,0,0
-1,197.0,-1,0.0,0.0,-1,65265.05,-1,544.82,575.56,0,0
15.78,197.0,-1,0.0,0.0,0.0,-1,475270.53,664.17,-1,0,0
20.35,197.0,-1,0.0,0.0,0.81,61736.41,460569.88,640.43,548.69,0,0
17.94,197.0,-1,0.0,0.0,0.4,64515.59,434236.49,620.14,485.15,0,0
-1,197.0,-1,0.0,0.0,0.44,64539.58,-1,605.82,561.08,0,0
-1,-1,-1,-1,0.36,0.42,57613.52,424099.35,630.0,-1,0,0
13.0,197.0,-1,0.0,-1,1.44,64088.87,367387.3,551.58,555.77,0,0
22.88,197.0,-1,0.0,0.0,0.8,63857.85,530512.66,673.55,578.3,0,0
18.42,210.0,-1,0.0,0.0,1.18,65181.35,447406.66,627.73,526.24,0,0
19.54,211.0,-1,-1,0.0,0.39,61144.22,438924.12,596.4,582.94,0,0
16.32,211.0,-1,0.0,0.0,0.39,63033.06,448233.95,-1,515.66,0,0
-1,-1,-1,0.0,0.0,0.0,53667.05,355122.0,481.45,409.54,0,0
-1,203.0,-1,0.0,0.0,0.41,59286.83,438115.52,587.67,539.46,0,0
20.96,196.0,-1,0.0,0.0,0.78,55013.04,426200.43,599.14,479.57,0,0
18.26,-1,-1,-1,-1,0.43,61648.57,467477.63,576.28,560.06,0,0
16.36,196.0,-1,0.0,0.0,0.42,65417.3,384787.06,638.46,-1,0,0
18.87,196.0,-1,0.0,0.0,0.36,63970.22,446156.49,569.25,503.09,0,0
18.58,196.0,-1,0.0,0.0,0.4,60830.95,429934.51,589.74,511.44,0,0
19.01,196.0,-1,0.0,0.0,0.6,61027.95,433721.81,575.4,530.21,0,0
-1,196.0,-1,-1,0.0,0.43,61049.16,438465.23,629.45,545.14,0,0
-1,-1,-1,0.0,0.0,0.43,-1,-1,-1,532.93,0,0
-1,196.0,-1,-1,0.0,0.4,63926.87,450998.18,573.85,-1,0,0
13.11,196.0,-1,0.0,0.0,0.37,44521.45,278764.16,463.51,374.99,0,0
21.62,213.0,-1,0.0,0.0,0.85,59457.84,444284.0,580.17,481.7,0,0
-1,213.0,-1,0.0,0.0,0.37,70635.95,396316.01,562.59,-1,0,0
17.06,213.0,-1,0.0,0.0,0.4,58591.15,461885.06,624.96,570.21,0,0
-1,202.0,-1,0.0,0.0,0.4,54989.1,435338.24,541.03,-1,0,0
15.98,202.0,-1,0.0,0.0,0.43,61288.19,453314.22,623.54,578.51,0,0
15.9,196.0,-1,0.0,0.0,0.58,60478.46,427798.5,555.72,506.01,0,0
15.99,196.0,-1,0.0,0.0,0.4,64983.77,452446.05,683.72,557.12,0,0
15.84,196.0,-1,0.0,0.0,0.41,59685.25,417206.41,-1,510.54,0,0
